S.no,R_cm,L_cm,Sex,Handedness,Age
275,22,22,M,Left,28
276,22.4,22.4,M,Right,28
277,21.9,21.5,F,Right,26
278,24.5,24.5,M,Right,22
279,19.1,18.9,F,Right,25
280,20.8,21,F,Right,18
281,19,18,F,Right,42
282,24,23.6,M,Right,22
283,18.9,18,F,Right,33
284,20.9,20.9,F,Right,36
285,18,17.6,F,Right,22
286,22.5,22,M,Right,24
287,23.2,23,M,Right,25
288,21,20.8,F,Right,24
289,20.6,20.9,F,Right,24
290,23.4,23.1,M,Right,24
291,25.3,25,M,Right,23
292,19.5,18.6,F,Right,29
293,20.2,19.5,F,Right,31
294,18.3,18.7,F,Right,36
295,20.3,20.5,M,Right,25
296,24.1,23.2,M,Right,22
297,24.2,24.1,M,Right,31
298,21.8,21.5,M,Right,23
299,21.4,21.4,F,Right,26
300,23,22.3,F,Right,52
301,20.3,20.5,M,Right,23
302,20.3,20.4,F,Right,22
303,22.7,22.2,F,Right,21
304,21.5,21.3,F,Right,27
305,20,20.7,F,Right,23
306,21.3,20.8,F,Right,23
307,21.8,22.3,M,Right,48
308,20,19,F,Right,26
309,22,23,F,Left,26
310,21.8,22,F,Right,28
311,22.5,22.2,M,Right,58
312,21,21.1,F,Right,56
313,21,21,M,Right,25
